Open,High,Low,Close,Adj Close,Volume,year,month,day
74.300003,76.150002,74.150002,74.949997,71.878105,61219545,2022,7,20
75.0,76.0,74.400002,75.599998,72.501465,31038381,2022,7,21
76.050003,76.300003,74.699997,75.300003,72.213776,21258642,2022,7,22
75.25,76.150002,74.800003,76.0,72.885078,19924422,2022,7,25
76.25,76.599998,74.5,74.949997,71.878105,24458733,2022,7,26
75.0,76.0,74.300003,75.800003,72.693275,17084580,2022,7,27
75.0,75.099998,73.550003,73.800003,72.940361,33296293,2022,7,28
74.900002,77.449997,74.5,77.150002,76.251343,41224551,2022,7,29
77.849998,78.150002,76.699997,77.699997,76.79493,18151290,2022,8,1
77.5,77.900002,75.900002,77.5,76.59726,18742186,2022,8,2
77.900002,78.599998,75.449997,76.349998,75.460655,23493253,2022,8,3
76.550003,78.150002,75.949997,76.949997,76.053665,24826809,2022,8,4
77.349998,78.449997,77.099998,77.599998,76.696098,19897620,2022,8,5
77.75,78.599998,76.849998,78.150002,77.239693,19680701,2022,8,8
78.550003,80.300003,77.650002,79.900002,78.969307,35559063,2022,8,10
79.800003,79.800003,78.050003,78.849998,77.931534,31717052,2022,8,11
78.849998,82.199997,78.800003,81.599998,80.649506,40640281,2022,8,12
81.900002,82.949997,80.199997,82.650002,81.687271,26851934,2022,8,16
82.849998,84.050003,82.349998,82.849998,81.884941,28056755,2022,8,17
82.849998,83.300003,82.050003,83.150002,82.18145,20383265,2022,8,18
83.099998,83.199997,81.5,81.75,80.79776,16756741,2022,8,19
81.199997,81.199997,78.0,78.150002,77.239693,18504246,2022,8,22
77.75,80.349998,77.0,80.0,79.068138,18941205,2022,8,23
79.5,80.25,78.900002,79.449997,78.524544,15002345,2022,8,24
79.849998,80.949997,79.5,79.75,78.821053,14283751,2022,8,25
81.0,82.900002,80.599998,81.699997,80.748337,29944031,2022,8,26
79.0,80.449997,78.449997,79.949997,79.018723,20571152,2022,8,29
80.5,81.849998,80.25,81.300003,80.353004,22790003,2022,8,30
80.5,81.449997,80.0,80.949997,80.007072,19557859,2022,9,1
80.949997,81.75,79.050003,79.199997,78.277458,23484601,2022,9,2
79.699997,81.050003,79.5,80.5,79.562317,21881137,2022,9,5
81.199997,82.449997,80.0,82.050003,81.094269,21769068,2022,9,6
81.75,82.599998,81.5,82.25,81.291931,18135087,2022,9,7
82.900002,83.099998,81.25,81.599998,80.649506,13192202,2022,9,8
82.050003,82.800003,81.550003,82.150002,81.1931,14149065,2022,9,9
82.699997,83.5,82.5,83.25,82.280281,13787059,2022,9,12
83.5,84.25,83.5,83.599998,82.626205,14722171,2022,9,13
82.0,85.0,81.949997,84.050003,83.070969,22582789,2022,9,14
83.599998,83.800003,82.0,82.25,81.291931,16676036,2022,9,15
82.0,82.400002,79.599998,80.650002,79.710571,22689826,2022,9,16
80.650002,80.75,78.599998,78.849998,77.931534,17209181,2022,9,19
79.550003,81.349998,79.5,80.75,79.809402,14219212,2022,9,20
80.699997,81.550003,79.900002,80.099998,79.166977,10364275,2022,9,21
79.800003,81.0,79.0,80.400002,79.463486,11718492,2022,9,22
80.0,81.099998,77.800003,78.150002,77.239693,11815823,2022,9,23
77.0,77.300003,73.800003,74.699997,73.829872,15856055,2022,9,26
75.75,75.849998,73.5,74.900002,74.02755,14244016,2022,9,27
74.0,75.099998,73.199997,73.650002,72.792107,11622517,2022,9,28
74.5,75.650002,73.550003,74.050003,73.187454,31048983,2022,9,29
74.400002,77.099998,73.599998,76.75,75.855995,23164910,2022,9,30
76.5,76.550003,75.550003,76.0,75.114731,12532404,2022,10,3
77.75,80.0,76.900002,79.599998,78.672798,17021286,2022,10,4
80.0,82.699997,79.849998,82.449997,81.489601,22003469,2022,10,6
82.0,82.099998,80.349998,81.050003,80.105911,12122823,2022,10,7
79.900002,82.5,79.650002,81.900002,80.946014,17325325,2022,10,10
81.849998,82.199997,78.699997,79.349998,78.425713,15270763,2022,10,11
79.5,80.0,78.150002,79.5,78.573967,12403161,2022,10,12
79.449997,79.849998,77.5,78.150002,77.239693,12769213,2022,10,13
80.0,80.0,77.699997,77.900002,76.992607,8472934,2022,10,14
77.699997,78.449997,76.25,78.25,77.338524,11143044,2022,10,17
78.650002,79.199997,78.25,78.900002,77.980957,9906432,2022,10,18
78.900002,79.800003,78.099998,78.400002,77.486778,8775176,2022,10,19
78.300003,79.900002,77.650002,79.599998,78.672798,13611208,2022,10,20
79.099998,79.550003,77.300003,77.849998,76.943184,13898452,2022,10,21
79.0,79.0,78.0,78.5,77.585617,1726938,2022,10,24
78.050003,80.0,77.5,79.349998,78.425713,14835434,2022,10,25
80.199997,82.900002,80.099998,82.550003,81.58844,31614891,2022,10,27
82.800003,82.800003,78.349998,78.949997,78.030365,29330156,2022,10,28
79.349998,79.550003,77.900002,78.699997,77.783279,11696554,2022,10,31
78.699997,80.25,78.400002,80.0,79.068138,15997988,2022,11,1
80.0,81.449997,79.699997,80.449997,79.512894,14278917,2022,11,2
79.800003,81.449997,79.300003,81.300003,80.353004,15209490,2022,11,3
81.5,84.400002,81.449997,84.099998,83.120384,33445593,2022,11,4
84.849998,87.349998,83.550003,87.099998,86.085434,38020780,2022,11,7
87.449997,87.599998,85.5,86.050003,85.047668,22539789,2022,11,9
85.0,86.650002,83.75,84.199997,83.219215,16683921,2022,11,10
84.400002,87.5,84.199997,85.5,84.504074,33191044,2022,11,11
85.599998,88.0,85.550003,86.449997,85.443008,26520636,2022,11,14
86.849998,87.199997,85.099998,86.199997,85.195915,13610421,2022,11,15
86.099998,86.5,82.300003,82.599998,81.637856,25739336,2022,11,16
83.0,83.0,80.75,81.75,80.79776,22502719,2022,11,17
81.900002,82.449997,79.849998,80.650002,79.710571,17752344,2022,11,18
82.25,83.0,81.0,81.699997,80.748337,26933770,2022,11,21
81.699997,82.449997,80.849998,82.25,81.291931,14583252,2022,11,22
82.699997,83.849998,82.099998,83.150002,82.18145,12436505,2022,11,23
83.300003,84.349998,82.349998,82.599998,81.637856,12007082,2022,11,24
82.849998,83.75,82.050003,83.349998,82.37912,10734377,2022,11,25
82.5,83.199997,81.800003,82.099998,81.143677,12858389,2022,11,28
82.550003,84.599998,82.25,82.75,81.78611,19526525,2022,11,29
82.75,85.0,82.699997,84.849998,83.861649,23604166,2022,11,30
85.699997,86.25,84.75,85.849998,84.849998,24779245,2022,12,1
85.949997,87.449997,85.5,86.75,85.739517,20303404,2022,12,2
87.199997,88.650002,87.0,88.099998,87.073792,21457721,2022,12,5
88.050003,88.099998,85.449997,85.949997,84.94883,16724879,2022,12,6
86.449997,86.449997,84.449997,85.300003,84.306412,12166267,2022,12,7
85.5,86.150002,84.099998,85.699997,84.701744,14100639,2022,12,8
86.300003,87.0,83.699997,84.550003,83.565147,12784750,2022,12,9
84.5,85.25,83.050003,84.949997,83.96048,10442886,2022,12,12
85.449997,85.75,84.0,84.150002,83.1698,11388040,2022,12,13
84.599998,85.599998,84.5,85.150002,84.158157,10055122,2022,12,14
84.949997,85.699997,83.349998,83.550003,82.57679,10984645,2022,12,15
83.400002,83.550003,82.0,82.599998,81.637856,11710485,2022,12,16
83.0,83.199997,82.099998,82.949997,81.983772,8474568,2022,12,19
82.5,82.75,80.699997,81.849998,80.896591,14817945,2022,12,20
82.300003,83.650002,80.800003,81.400002,80.451836,14289387,2022,12,21
81.849998,82.099998,78.199997,78.699997,77.783279,18920980,2022,12,22
78.25,78.300003,74.349998,74.699997,73.829872,15647334,2022,12,23
75.0,77.150002,73.75,76.650002,75.757164,14027435,2022,12,26
77.400002,81.150002,77.199997,80.800003,79.858826,29894904,2022,12,27
80.75,81.449997,79.949997,80.699997,79.759987,13888353,2022,12,28
80.199997,81.300003,79.75,81.050003,80.105911,13574850,2022,12,29
82.550003,84.449997,82.099998,82.650002,81.687271,29757458,2022,12,30
83.300003,89.5,83.050003,88.949997,87.913887,86864774,2023,1,2
89.0,89.699997,87.699997,88.349998,87.320877,37876426,2023,1,3
87.650002,88.349998,84.849998,85.25,84.256989,20223708,2023,1,4
85.699997,87.849998,84.650002,87.400002,86.381943,24321965,2023,1,5
87.849998,88.050003,85.449997,85.900002,84.899422,19627104,2023,1,6
87.0,88.150002,86.800003,87.75,86.727867,16860710,2023,1,9
87.75,88.75,86.199997,87.599998,86.579613,21375875,2023,1,10
88.050003,89.550003,87.800003,88.949997,87.913887,24955585,2023,1,11
88.75,88.75,87.199997,88.0,86.974953,11442821,2023,1,12
88.300003,89.599998,87.949997,88.849998,87.815056,18350692,2023,1,13
89.25,89.699997,87.599998,87.900002,86.876122,12333401,2023,1,16
87.849998,87.849998,86.050003,87.150002,86.134857,12532647,2023,1,17
87.5,91.199997,87.349998,90.699997,89.643501,39056707,2023,1,18
90.449997,93.900002,90.0,92.099998,91.027199,63481359,2023,1,19
92.349998,92.949997,91.199997,91.5,90.434189,27855347,2023,1,20
91.949997,93.400002,90.300003,93.099998,92.015549,37644720,2023,1,23
92.949997,93.150002,90.699997,91.0,89.94001,15154378,2023,1,24
90.900002,91.400002,89.150002,89.900002,88.852821,17092770,2023,1,25
90.0,91.199997,86.300003,88.150002,87.123207,21874770,2023,1,27
88.150002,89.599998,86.0,86.849998,85.838348,13314265,2023,1,30
87.400002,91.150002,87.0,90.599998,89.54467,26331826,2023,1,31
91.300003,92.400002,86.800003,89.0,87.96331,25911790,2023,2,1
88.849998,90.25,87.650002,89.0,87.96331,22866118,2023,2,2
89.449997,89.699997,85.400002,85.949997,84.94883,21487839,2023,2,3
86.400002,86.699997,84.099998,84.449997,83.466301,15025899,2023,2,6
84.449997,84.449997,81.449997,82.449997,81.489601,19123174,2023,2,7
82.449997,84.800003,82.300003,84.550003,83.565147,17280945,2023,2,8
84.699997,86.550003,83.800003,85.349998,84.35582,13368881,2023,2,9
84.949997,85.099998,83.75,84.550003,83.565147,8282686,2023,2,10
84.5,85.25,83.0,83.349998,82.37912,11254227,2023,2,13
83.650002,84.5,82.050003,84.199997,83.219215,19252645,2023,2,14
84.0,85.349998,83.599998,84.150002,83.1698,12266197,2023,2,15
85.0,85.949997,84.349998,85.800003,84.800583,10475328,2023,2,16
85.449997,87.650002,85.300003,86.150002,85.146507,21525591,2023,2,17
86.0,86.599998,84.900002,86.050003,85.047668,12315939,2023,2,20
86.5,87.599998,86.150002,87.150002,86.134857,14079807,2023,2,21
87.0,87.099998,84.0,84.550003,83.565147,19537168,2023,2,22
85.0,86.300003,84.199997,84.900002,83.911064,24771081,2023,2,23
85.349998,85.699997,82.75,82.949997,81.983772,19305545,2023,2,24
82.699997,83.400002,81.099998,83.0,82.033195,16861726,2023,2,27
83.099998,83.599998,81.800003,82.75,81.78611,14683471,2023,2,28
83.0,85.5,83.0,85.25,84.256989,13629694,2023,3,1
85.099998,86.449997,84.949997,86.300003,85.294762,13107291,2023,3,2
86.849998,88.099998,86.050003,87.800003,86.77729,14681544,2023,3,3
87.699997,88.199997,86.75,87.449997,86.431358,15255919,2023,3,6
86.25,87.800003,85.75,87.400002,86.381943,10100796,2023,3,8
87.550003,89.0,87.5,87.75,86.727867,12585135,2023,3,9
86.800003,88.199997,86.400002,88.099998,87.073792,10662815,2023,3,10
88.349998,89.349998,86.699997,86.949997,85.93718,14288810,2023,3,13
87.099998,87.900002,85.75,86.800003,85.788933,10616254,2023,3,14
87.550003,88.599998,87.199997,87.650002,86.629036,13398597,2023,3,15
86.849998,87.300003,84.050003,85.300003,84.306412,20684933,2023,3,16
86.0,89.050003,85.800003,88.650002,87.617386,26577314,2023,3,17
88.650002,88.650002,85.449997,86.599998,85.591263,14909136,2023,3,20
87.050003,87.550003,86.25,87.050003,86.036026,9170696,2023,3,21
87.150002,87.25,84.400002,85.050003,84.059319,19851740,2023,3,22
84.849998,86.699997,84.199997,85.849998,84.849998,17338653,2023,3,23
85.050003,85.050003,82.0,82.349998,82.349998,20599895,2023,3,24
82.099998,82.900002,80.900002,81.199997,81.199997,11701170,2023,3,27
81.25,81.849998,80.650002,80.800003,80.800003,11090113,2023,3,28
80.800003,82.949997,80.599998,82.550003,82.550003,13616947,2023,3,29
83.449997,84.300003,77.599998,82.699997,82.699997,20583852,2023,3,31
83.849998,84.349998,83.300003,83.800003,83.800003,7075382,2023,4,3
83.199997,83.449997,82.099998,82.5,82.5,8559285,2023,4,5
82.300003,82.650002,81.300003,82.099998,82.099998,9141521,2023,4,6
82.5,83.199997,82.25,82.449997,82.449997,7342069,2023,4,10
83.0,83.050003,81.699997,82.449997,82.449997,18451727,2023,4,11
83.0,83.400002,82.400002,82.699997,82.699997,13125615,2023,4,12
82.650002,83.0,81.150002,81.550003,81.550003,12468154,2023,4,13
81.849998,82.5,81.650002,82.300003,82.300003,6426817,2023,4,17
82.650002,83.0,82.0,82.300003,82.300003,6301411,2023,4,18
82.349998,84.150002,82.300003,82.650002,82.650002,12688176,2023,4,19
82.5,83.650002,82.400002,83.199997,83.199997,6865529,2023,4,20
83.150002,83.400002,80.75,81.599998,81.599998,16876304,2023,4,21
81.199997,82.300003,80.849998,82.0,82.0,7946999,2023,4,24
81.800003,82.599998,81.699997,81.949997,81.949997,7788276,2023,4,25
81.800003,81.800003,80.849998,81.199997,81.199997,9901624,2023,4,26
81.25,81.900002,80.949997,81.699997,81.699997,8977490,2023,4,27
82.0,82.900002,81.900002,82.800003,82.800003,11438678,2023,4,28
83.0,85.199997,83.0,84.599998,84.599998,20210134,2023,5,2
85.150002,85.449997,84.0,85.150002,85.150002,14993568,2023,5,3
85.150002,86.599998,85.0,85.699997,85.699997,13452219,2023,5,4
85.699997,85.75,82.5,82.699997,82.699997,16749470,2023,5,5
83.349998,84.449997,82.949997,84.300003,84.300003,14678832,2023,5,8
84.199997,85.150002,83.650002,84.199997,84.199997,13523848,2023,5,9
84.25,84.449997,82.599998,83.949997,83.949997,13487783,2023,5,10
83.900002,84.300003,83.400002,84.099998,84.099998,8109668,2023,5,11
83.5,83.75,82.449997,83.050003,83.050003,12358464,2023,5,12
83.050003,84.449997,82.199997,84.25,84.25,7462528,2023,5,15
84.5,84.949997,83.650002,84.050003,84.050003,7376841,2023,5,16
83.800003,83.800003,82.300003,82.800003,82.800003,13496921,2023,5,17
83.199997,83.699997,82.25,82.5,82.5,8234890,2023,5,18
82.5,82.949997,80.949997,82.150002,82.150002,13720610,2023,5,19
82.150002,82.349998,81.599998,82.050003,82.050003,6918411,2023,5,22
82.25,83.150002,81.800003,82.599998,82.599998,9357512,2023,5,23
82.099998,83.050003,81.800003,82.5,82.5,7904196,2023,5,24
82.599998,82.75,81.650002,82.25,82.25,9575601,2023,5,25
80.849998,82.699997,80.449997,82.099998,82.099998,26673130,2023,5,26
82.400002,84.849998,82.050003,84.300003,84.300003,20634118,2023,5,29
84.400002,84.550003,83.0,83.199997,83.199997,11048903,2023,5,30
82.699997,83.099998,82.099998,82.5,82.5,12966397,2023,5,31
82.5,82.949997,81.800003,82.199997,82.199997,22911903,2023,6,1
82.650002,83.900002,82.550003,83.599998,83.599998,12665361,2023,6,2
83.900002,84.199997,83.099998,83.699997,83.699997,11749146,2023,6,5
83.900002,83.949997,82.849998,83.199997,83.199997,9032643,2023,6,6
83.400002,85.0,83.150002,84.75,84.75,18300344,2023,6,7
84.949997,85.800003,83.900002,84.050003,84.050003,17361553,2023,6,8
84.199997,84.199997,82.400002,82.900002,82.900002,15482610,2023,6,9
83.449997,84.300003,83.0,83.550003,83.550003,10006837,2023,6,12
83.75,84.949997,83.75,84.099998,84.099998,14147667,2023,6,13
84.699997,85.75,84.25,84.75,84.75,20418160,2023,6,14
84.849998,85.199997,83.900002,84.800003,84.800003,12731420,2023,6,15
85.25,85.599998,84.699997,85.150002,85.150002,11501358,2023,6,16
85.599998,86.449997,85.199997,85.900002,85.900002,16961035,2023,6,19
85.75,87.050003,85.349998,86.0,86.0,18507799,2023,6,20
86.050003,86.449997,85.0,85.849998,85.849998,12679704,2023,6,21
85.650002,86.099998,84.5,85.150002,85.150002,10984829,2023,6,22
84.550003,85.349998,83.800003,84.400002,84.400002,10873933,2023,6,23
84.099998,84.75,83.400002,84.449997,84.449997,9941493,2023,6,26
84.550003,85.599998,84.25,85.0,85.0,10320705,2023,6,27
85.0,85.0,85.0,85.0,85.0,0,2023,6,28
85.400002,85.75,84.900002,85.5,85.5,10543357,2023,6,30
85.900002,88.25,85.599998,87.5,87.5,21458900,2023,7,3
87.849998,88.5,86.900002,87.25,87.25,14758818,2023,7,4
87.699997,88.699997,87.599998,88.050003,88.050003,12358194,2023,7,5
87.900002,88.25,87.0,87.800003,87.800003,9906211,2023,7,6
87.400002,88.099998,86.199997,86.800003,86.800003,10250502,2023,7,7
87.0,90.599998,86.900002,90.050003,90.050003,35951620,2023,7,10
90.599998,90.599998,89.5,90.0,90.0,17114253,2023,7,11
90.0,90.75,89.25,89.599998,89.599998,10421729,2023,7,12
91.0,91.400002,89.349998,89.849998,89.849998,17704740,2023,7,13
90.599998,91.75,90.0,91.25,91.25,13245628,2023,7,14
91.599998,92.449997,91.150002,91.599998,91.599998,16244703,2023,7,17
91.650002,91.949997,89.75,90.300003,90.300003,8317264,2023,7,18
90.800003,91.150002,90.25,90.800003,90.800003,6640273,2023,7,19
90.949997,91.25,89.75,89.900002,89.900002,9794476,2023,7,20
